FACILITY_description,Suicide,Accident,Homicide,Natural,Pending,Undetermined,total
R.M.C.- MAIN UNIT,6,20,10,1106,33,0,1132
S.F.R.C.,4,7,5,245,17,0,256
DADE C.I.,10,13,5,108,3,1,131
UNION C.I.,9,4,2,70,2,0,83
ZEPHYRHILLS C.I.,2,2,1,62,5,0,66
CFRC-SOUTH,0,1,1,63,4,0,64
SUWANNEE C.I. ANNEX,2,4,1,54,4,0,60
CFRC-MAIN,8,2,1,48,2,0,58
WAKULLA C.I.,3,2,2,48,0,0,53
BLACKWATER C.F.,3,10,2,39,7,0,52
EVERGLADES C.I.,1,4,0,42,4,0,47
SOUTH BAY C.F.,4,5,1,35,3,0,44
GRACEVILLE C.F.,4,4,4,35,3,0,43
COLUMBIA CI,2,4,3,36,2,0,42
OKEECHOBEE C.I.,4,17,5,21,3,0,42
SANTA ROSA C.I.,7,9,6,25,0,0,41
LAKE C.I.,6,3,3,26,1,0,35
CHARLOTTE C.I.,4,11,3,19,0,0,34
SANTA ROSA ANNEX,6,7,0,21,5,0,34
APALACHEE EAST UNIT,6,7,3,20,3,0,33
HAMILTON ANNEX,3,6,4,24,1,0,33
NWFRC MAIN UNIT.,4,4,3,25,2,0,33
LOWELL ANNEX,0,0,0,32,1,0,32
CENTURY C.I.,2,7,3,20,6,0,29
COLUMBIA ANNEX,2,8,4,17,1,0,27
LIBERTY C.I.,5,8,0,14,3,0,27
TOMOKA C.I.,0,1,3,26,2,0,27
CROSS CITY C.I.,1,6,3,19,0,1,26
MOORE HAVEN C.F.,2,2,1,21,0,0,25
MARTIN C.I.,4,9,7,11,5,0,24
S.F.R.C SOUTH UNIT,1,2,0,21,0,0,24
JEFFERSON C.I.,0,10,1,12,0,0,22
NWFRC ANNEX.,1,4,2,17,2,0,22
HOLMES C.I.,1,9,2,11,0,0,21
TAYLOR C.I.,0,3,5,17,0,0,20
WALTON C.I.,1,4,1,15,3,0,20
CALHOUN C.I.,0,9,1,10,1,0,19
FRANKLIN C.I.,0,7,2,12,0,0,19
GULF C.I.,3,5,2,11,0,0,19
SUMTER C.I.,2,3,0,14,1,0,19
SUWANNEE C.I,3,4,3,12,2,0,19
WAKULLA ANNEX,4,6,2,9,0,0,19
LOWELL C.I.,0,0,0,18,1,0,18
MADISON C.I.,2,3,1,13,0,0,18
HARDEE C.I.,2,1,2,14,7,0,17
MARION C.I.,2,0,1,15,1,1,17
AVON PARK C.I.,1,2,0,13,1,0,16
FLORIDA STATE PRISON,6,1,0,9,1,0,16
OKALOOSA C.I.,0,6,1,10,2,0,16
DESOTO ANNEX,3,2,1,10,0,0,15
JACKSON C.I.,0,7,5,8,0,0,15
SUMTER  C.I.,1,1,0,12,0,0,14
BAY C.F.,2,4,0,7,0,0,13
FL.WOMENS RECPN.CTR,0,0,0,13,1,0,13
GULF C.I.- ANNEX,0,4,2,8,0,0,12
BAKER C.I.,1,0,1,10,0,0,11
POLK C.I.,1,2,0,8,3,0,11
R.M.C.- WEST UNIT,0,3,0,6,0,0,9
FSP WEST UNIT,0,2,0,6,0,0,8
APALACHEE WEST UNIT,0,1,0,6,1,0,7
MAYO C.I. ANNEX,0,4,2,3,1,0,7
TAYLOR ANNEX,1,2,0,4,0,0,7
GADSDEN C.F.,0,0,0,4,1,0,4
LAWTEY C.I.,0,0,0,4,0,0,4
S.F.R.C. SOUTH UNIT,0,0,0,3,0,0,3
BAKER RE-ENTRY CENTR,0,0,0,2,0,0,2
CFRC-EAST,0,1,0,1,0,0,2
HARDEE WORK CAMP,0,1,0,1,1,0,2
HERNANDO C.I.,0,0,0,2,0,0,2
HOMESTEAD C.I.,0,0,0,2,1,0,2
KISSIMMEE C.R.C.,0,1,0,1,0,0,2
LANCASTER C.I.,0,0,0,2,0,0,2
MARTIN WORK CAMP,0,0,0,2,0,0,2
ORLANDO BRIDGE,1,1,0,0,0,0,2
REENTRY CTR OF OCALA,0,1,0,1,0,0,2
SUNCOAST C.R.C.(FEM),0,2,0,0,0,0,2
TTH Dinsmore,0,0,0,2,0,0,2
TTH OF TARPON SPRING,0,0,0,2,0,0,2
TURNING POINT CRC,0,2,0,0,0,0,2
BRIDGES OF JACKSONVI,0,1,0,0,1,0,1
BRIDGES OF ORLANDO,0,1,0,0,0,1,1
Bridges of Santa Fe,0,1,0,0,0,1,1
CALHOUN WC,0,1,0,0,0,0,1
CENTURY WORK CAMP,0,0,0,1,0,0,1
DESOTO WORK CAMP,0,0,0,1,0,0,1
GAINESVILLE WC,0,0,0,1,0,0,1
GULF FORESTRY CAMP,0,0,0,1,0,0,1
Graceville CF,0,1,0,0,0,0,1
HAMILTON C.I.,0,1,2,0,0,0,1
HAMILTON Work Camp,0,0,0,1,0,0,1
HOLMES WORK CAMP,0,0,0,1,0,0,1
Jackson Work Camp,0,0,0,1,0,0,1
Jacksonville Bridge,0,0,0,1,0,0,1
Kissinnee CRC,0,0,0,1,0,0,1
LAKE CITY C.F.,0,0,0,1,1,0,1
LOWELL WORK CAMP,0,0,0,1,0,0,1
Mayo Work Camp,0,0,0,1,0,0,1
NEW RIVER CI,1,0,0,0,0,0,1
OPA LOCKA C.R.C.,0,1,0,0,0,0,1
ORLANDO C.R.C.,0,1,0,0,0,0,1
PALM BEACH,0,0,0,1,0,0,1
PUTNAM C.I.,0,0,0,1,0,0,1
QUINCY ANNEX,0,1,0,0,0,0,1
REALITY HOUSE,0,0,0,1,0,0,1
TOMOKA CRC,0,1,0,0,0,0,1
TOMOKA WORK CAMP,0,0,0,1,0,0,1
TTH OF BARTOW,1,0,0,0,0,0,1
TTH OF DINSMORE,0,0,0,1,0,0,1
TTH of BARSTOW,0,0,0,1,0,0,1
TTH of Kissimmee,0,1,0,0,0,0,1
W.PALM BEACH C.R.C.,0,1,1,0,1,0,1
EVERGLADES RE-ENTRY,0,0,0,0,1,0,0
LANCASTER WC,0,0,0,0,0,1,0
LOXAHATCHEE R.P.,0,0,0,0,1,0,0
